               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.04817,             0.23737,            0.020922,             0.45744,             0.40257,             0.39386,               0.223,            0.046516,             0.36497,            0.022523,           0.0082675,           0.0082675,           0.0082675
                  37,            0.047995,             0.23778,            0.020604,             0.44737,             0.41922,             0.39946,             0.22752,            0.046046,             0.36439,             0.02239,            0.008218,            0.008218,            0.008218
                  38,            0.047572,              0.2329,            0.020469,             0.46462,              0.4102,             0.40107,              0.2276,            0.046004,             0.36266,            0.022254,           0.0081685,           0.0081685,           0.0081685
                  39,            0.047663,             0.23332,            0.020612,             0.45782,             0.41483,             0.39924,             0.22598,            0.046018,             0.36368,            0.022296,            0.008119,            0.008119,            0.008119
                  40,            0.047402,              0.2321,             0.02014,             0.46366,             0.41701,             0.40506,             0.23025,            0.046095,             0.36326,            0.022181,           0.0080695,           0.0080695,           0.0080695
                  41,            0.047317,             0.23161,            0.019982,             0.47181,               0.415,             0.40928,             0.23303,            0.045923,               0.362,            0.021996,             0.00802,             0.00802,             0.00802
                  42,            0.047226,             0.23349,            0.020017,             0.47937,               0.419,              0.4135,             0.23534,            0.045712,             0.36177,            0.021844,           0.0079705,           0.0079705,           0.0079705
                  43,             0.04725,             0.23239,            0.019744,             0.48169,              0.4255,             0.41663,             0.23656,            0.045701,             0.36081,            0.021758,            0.007921,            0.007921,            0.007921
                  44,            0.046957,             0.23319,            0.019714,              0.4841,             0.42388,             0.41842,             0.23834,            0.045567,             0.36185,            0.021622,           0.0078715,           0.0078715,           0.0078715
                  45,            0.046967,             0.23046,            0.019554,             0.48563,             0.42145,             0.41614,              0.2405,            0.045476,             0.36118,            0.021892,            0.007822,            0.007822,            0.007822
                  46,            0.046874,             0.23064,            0.019321,             0.49573,             0.42412,             0.42384,               0.243,            0.045453,             0.36085,            0.021557,           0.0077725,           0.0077725,           0.0077725
                  47,            0.046622,              0.2297,            0.019302,             0.48953,             0.42934,             0.42436,             0.24349,            0.045398,             0.36048,            0.021658,            0.007723,            0.007723,            0.007723
                  48,            0.046717,             0.22988,            0.019295,             0.49438,             0.42719,             0.42784,             0.24603,            0.045182,             0.35891,            0.021553,           0.0076735,           0.0076735,           0.0076735
                  49,            0.046385,             0.23052,            0.018977,             0.49634,             0.43845,             0.43363,             0.24909,            0.045052,             0.35932,            0.021321,            0.007624,            0.007624,            0.007624
                  50,            0.046371,             0.23018,             0.01906,             0.50259,             0.43245,              0.4331,             0.24985,            0.045054,             0.35853,            0.021292,           0.0075745,           0.0075745,           0.0075745
                  51,            0.046184,             0.22673,            0.019011,             0.50094,              0.4337,              0.4358,             0.25125,            0.045094,             0.35909,            0.021206,            0.007525,            0.007525,            0.007525
                  52,            0.046261,             0.22846,            0.018854,             0.50637,             0.43459,             0.43576,             0.25067,            0.044916,             0.35767,            0.021294,           0.0074755,           0.0074755,           0.0074755
                  53,            0.046113,             0.22633,            0.018696,             0.50265,              0.4407,             0.43844,             0.25367,            0.044832,             0.35785,            0.021043,            0.007426,            0.007426,            0.007426
                  54,            0.046075,             0.22627,            0.018497,             0.51091,             0.43708,             0.43862,             0.25222,            0.044881,             0.35805,            0.021043,           0.0073765,           0.0073765,           0.0073765
                  55,             0.04605,             0.22894,            0.018521,             0.51386,             0.43734,             0.44236,             0.25587,            0.044793,             0.35835,             0.02093,            0.007327,            0.007327,            0.007327
                  56,            0.045746,             0.22691,            0.018397,             0.50712,             0.44494,             0.44128,             0.25551,            0.044716,             0.35755,            0.020832,           0.0072775,           0.0072775,           0.0072775
                  57,            0.045808,              0.2237,            0.018394,             0.51245,             0.44353,             0.44376,             0.25543,            0.044627,             0.35677,            0.020863,            0.007228,            0.007228,            0.007228
                  58,            0.045551,             0.22598,            0.018096,             0.51205,             0.43955,             0.44214,             0.25598,            0.044676,             0.35638,            0.020944,           0.0071785,           0.0071785,           0.0071785
                  59,             0.04555,             0.22518,            0.018127,             0.50607,             0.44361,             0.44417,             0.25683,             0.04463,             0.35594,            0.020884,            0.007129,            0.007129,            0.007129
                  60,            0.045496,             0.22516,            0.018319,             0.51126,             0.44751,             0.44373,              0.2555,            0.044524,             0.35631,            0.020829,           0.0070795,           0.0070795,           0.0070795
                  61,            0.045333,             0.22431,            0.018084,             0.52637,             0.44128,             0.44649,             0.25749,             0.04451,             0.35607,            0.020838,             0.00703,             0.00703,             0.00703
                  62,            0.045459,             0.22722,            0.017994,             0.51649,             0.44866,             0.45002,             0.25946,            0.044495,             0.35646,            0.020697,           0.0069805,           0.0069805,           0.0069805
                  63,            0.045222,             0.22364,            0.017974,              0.5135,             0.44905,              0.4507,             0.26011,            0.044444,             0.35615,            0.020628,            0.006931,            0.006931,            0.006931
                  64,            0.045365,             0.22388,            0.017788,             0.51561,             0.44734,             0.45077,             0.26041,            0.044454,             0.35583,            0.020716,           0.0068815,           0.0068815,           0.0068815
                  65,            0.044949,             0.22425,            0.017881,             0.52224,             0.44688,             0.45339,             0.26082,            0.044454,             0.35602,            0.020686,            0.006832,            0.006832,            0.006832
                  66,            0.045054,             0.22049,            0.017515,             0.51799,              0.4532,             0.45335,             0.26254,            0.044353,             0.35508,            0.020562,           0.0067825,           0.0067825,           0.0067825
                  67,            0.045172,             0.22403,            0.017707,             0.51384,             0.45689,             0.45295,              0.2623,            0.044324,             0.35543,            0.020628,            0.006733,            0.006733,            0.006733
                  68,            0.044937,             0.22401,            0.017554,             0.51965,             0.45498,             0.45397,             0.26384,            0.044235,             0.35556,            0.020505,           0.0066835,           0.0066835,           0.0066835
                  69,            0.045041,              0.2238,            0.017522,             0.51453,             0.45674,             0.45577,             0.26393,            0.044149,             0.35481,            0.020464,            0.006634,            0.006634,            0.006634
                  70,            0.044734,             0.22027,            0.017437,             0.52882,             0.45629,             0.45698,             0.26531,            0.044141,             0.35481,            0.020376,           0.0065845,           0.0065845,           0.0065845
                  71,            0.044773,             0.22353,            0.017342,             0.53298,             0.44821,             0.45755,             0.26621,            0.044092,             0.35474,            0.020333,            0.006535,            0.006535,            0.006535
                  72,            0.044556,             0.21988,            0.017408,             0.53178,             0.45399,             0.46119,             0.26781,            0.044092,             0.35456,            0.020295,           0.0064855,           0.0064855,           0.0064855
                  73,            0.044555,             0.22039,            0.017349,             0.53592,             0.45725,             0.46061,             0.26734,            0.044052,             0.35419,            0.020279,            0.006436,            0.006436,            0.006436
                  74,            0.044593,             0.22216,            0.017205,             0.53287,             0.45277,             0.46164,             0.26897,            0.044044,             0.35391,            0.020357,           0.0063865,           0.0063865,           0.0063865
                  75,             0.04436,             0.22259,            0.017207,             0.53471,             0.46001,             0.46309,             0.26962,            0.043987,             0.35437,            0.020306,            0.006337,            0.006337,            0.006337
                  76,            0.044339,             0.21782,            0.016974,             0.53668,             0.45892,             0.46362,             0.26939,            0.043935,             0.35432,            0.020218,           0.0062875,           0.0062875,           0.0062875
